         ps       /tb/rst        /tb/countOut       
          delta     /tb/clk                         
                      /tb/upperBound                
          0  +1         1 0 00000010 UUUUUUUU 
      50000  +2         1 1 00000010 00000000 
     100000  +1         0 0 00000010 00000000 
     150000  +1         0 1 00000010 00000000 
     200000  +1         0 0 00000010 00000000 
     250000  +2         0 1 00000010 00000001 
     300000  +1         0 0 00000010 00000001 
     350000  +2         0 1 00000010 00000000 
     400000  +1         0 0 00000010 00000000 
     450000  +2         0 1 00000010 00000001 
     500000  +1         0 0 00000010 00000001 
     550000  +2         0 1 00000010 00000010 
     600000  +1         0 0 00000010 00000010 
     650000  +2         0 1 00000010 00000000 
     700000  +1         0 0 00000010 00000000 
     750000  +1         0 1 00000010 00000000 
     800000  +1         0 0 00000010 00000000 
     850000  +2         0 1 00000010 00000001 
     900000  +1         0 0 00000010 00000001 
     950000  +2         0 1 00000010 00000000 
    1000000  +1         0 0 00000010 00000000 
    1050000  +2         0 1 00000010 00000001 
    1100000  +1         0 0 00000010 00000001 
    1150000  +2         0 1 00000010 00000010 
    1200000  +1         0 0 00000100 00000010 
    1250000  +2         0 1 00000100 00000000 
    1300000  +1         0 0 00000100 00000000 
    1350000  +2         0 1 00000100 00000001 
    1400000  +1         0 0 00000100 00000001 
    1450000  +2         0 1 00000100 00000010 
    1500000  +1         0 0 00000100 00000010 
    1550000  +2         0 1 00000100 00000011 
    1600000  +1         0 0 00000100 00000011 
    1650000  +2         0 1 00000100 00000000 
    1700000  +1         0 0 00000100 00000000 
    1750000  +2         0 1 00000100 00000001 
    1800000  +1         0 0 00000100 00000001 
    1850000  +2         0 1 00000100 00000010 
    1900000  +1         0 0 00000100 00000010 
    1950000  +2         0 1 00000100 00000011 
    2000000  +1         0 0 00000100 00000011 
    2050000  +2         0 1 00000100 00000100 
    2100000  +1         0 0 00000100 00000100 
    2150000  +2         0 1 00000100 00000000 
    2200000  +1         0 0 00000100 00000000 
    2250000  +1         0 1 00000100 00000000 
    2300000  +1         0 0 00000100 00000000 
    2350000  +2         0 1 00000100 00000001 
    2400000  +1         0 0 00000110 00000001 
    2450000  +2         0 1 00000110 00000000 
    2500000  +1         0 0 00000110 00000000 
    2550000  +2         0 1 00000110 00000001 
    2600000  +1         0 0 00000110 00000001 
    2650000  +2         0 1 00000110 00000010 
    2700000  +1         0 0 00000110 00000010 
    2750000  +2         0 1 00000110 00000000 
    2800000  +1         0 0 00000110 00000000 
    2850000  +2         0 1 00000110 00000001 
    2900000  +1         0 0 00000110 00000001 
    2950000  +2         0 1 00000110 00000010 
    3000000  +1         0 0 00000110 00000010 
    3050000  +2         0 1 00000110 00000011 
    3100000  +1         0 0 00000110 00000011 
    3150000  +2         0 1 00000110 00000000 
    3200000  +1         0 0 00000110 00000000 
    3250000  +2         0 1 00000110 00000001 
    3300000  +1         0 0 00000110 00000001 
    3350000  +2         0 1 00000110 00000010 
    3400000  +1         0 0 00000110 00000010 
    3450000  +2         0 1 00000110 00000011 
    3500000  +1         0 0 00000110 00000011 
    3550000  +2         0 1 00000110 00000100 
    3600000  +1         0 0 00001000 00000100 
    3650000  +2         0 1 00001000 00000000 
    3700000  +1         0 0 00001000 00000000 
    3750000  +2         0 1 00001000 00000001 
    3800000  +1         0 0 00001000 00000001 
    3850000  +2         0 1 00001000 00000010 
    3900000  +1         0 0 00001000 00000010 
    3950000  +2         0 1 00001000 00000011 
    4000000  +0         0 0 00001000 00000011 
